shoe_id,brand,name,lightweight,rocker,removable_insole,pace_daily_running,pace_tempo,pace_competition,arch_neutral,arch_stability,weight_lab_oz,drop_lab_mm,strike_heel,strike_mid,strike_forefoot,midsole_softness,toebox_durability,heel_durability,outsole_durability,breathability_scaled,width_fit,toebox_width,stiffness_scaled,torsional_rigidity,heel_stiff,plate_rock_plate,plate_carbon_plate,heel_lab_mm,forefoot_lab_mm,season_summer,season_winter,season_all
r136,asics,noosa tri 16,1,0,1,1,1,0,1,0,7.7,5.9,0,1,1,5,2,4,3,5,5,5,3,5,3,0,0,32.8,26.9,1,0,1
r137,asics,novablast 2,0,1,1,1,1,0,1,0,9.6,13.7,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,39.3,25.6,0,0,0
r138,asics,novablast 4,0,1,1,1,0,0,1,0,9.1,9.0,1,1,1,5,3,4,4,3,1,3,5,5,3,0,0,39.2,30.2,0,0,1
r139,asics,novablast 5,0,1,1,1,1,0,1,0,9.0,7.4,1,1,1,5,2,3,4,3,3,3,3,5,3,0,0,40.9,33.5,0,0,1
r140,asics,sonicblast,0,1,1,1,1,0,1,0,9.0,9.0,1,1,1,5,2,4,3,5,1,1,5,5,1,0,0,45.4,36.4,1,0,1
r141,asics,superblast,1,1,1,1,1,0,1,0,8.6,7.9,0,1,1,3,2,3,4,3,1,3,5,5,3,0,0,42.7,34.8,0,0,1
r142,asics,superblast 2,0,1,1,1,1,0,1,0,8.9,8.2,1,1,1,5,4,4,4,5,3,3,5,5,3,0,0,42.8,34.6,1,0,1
r143,asics,versablast 4,0,0,1,1,0,0,1,0,10.2,9.4,1,1,1,3,3,3,4,1,1,1,3,3,3,0,0,36.1,26.7,0,0,1
r144,brooks,addiction gts 15,0,0,1,1,0,0,0,1,12.5,12.1,1,0,0,1,3,4,4,3,3,3,5,5,3,0,0,36.5,24.4,0,0,1
r145,brooks,adrenaline gts 22,0,0,0,1,0,0,0,1,10.4,14.7,1,0,0,0,0,0,0,0,3,0,5,0,0,0,0,37.4,22.7,0,0,0
r146,brooks,adrenaline gts 23,0,0,1,1,0,0,0,1,10.1,12.6,1,0,0,5,2,4,4,5,3,3,3,5,5,0,0,34.1,21.5,1,0,1
r147,brooks,adrenaline gts 24,0,0,1,1,0,0,0,1,10.3,13.5,1,0,0,3,3,4,4,3,3,3,3,5,5,0,0,39.0,25.5,0,0,1
r148,brooks,anthem 4,1,0,1,1,0,0,1,0,8.6,11.1,1,0,0,0,0,0,0,3,1,0,5,1,5,0,0,32.5,21.4,0,0,1
r149,brooks,aurora-bl,1,1,1,1,0,0,1,0,8.7,8.7,1,1,1,5,2,2,4,3,1,3,5,1,3,0,0,37.0,28.3,0,0,1
r150,brooks,beast gts 23,0,0,1,1,0,0,0,1,12.4,11.9,1,0,0,3,3,3,4,3,3,3,5,5,5,0,0,36.4,24.5,0,0,1
r151,brooks,beast gts 24,0,0,1,1,0,0,0,1,12.6,12.7,1,0,0,1,3,3,4,1,3,3,3,5,5,0,0,38.5,25.8,0,0,1
r152,brooks,ghost 14,0,0,1,1,0,0,1,0,10.1,12.4,1,0,0,0,0,0,0,3,1,0,5,3,5,0,0,33.8,21.4,0,0,1
r153,brooks,ghost 15,0,0,1,1,0,0,1,0,9.8,13.2,1,0,0,5,2,3,4,3,1,3,1,3,5,0,0,36.3,23.1,0,0,1
r154,brooks,ghost 16,0,0,1,1,0,0,1,0,9.4,12.4,1,0,0,3,3,4,4,3,3,3,1,3,5,0,0,35.1,22.7,0,0,1
r155,brooks,ghost 17,0,0,1,1,0,0,1,0,10.2,10.4,1,0,0,5,3,4,4,3,3,1,3,3,5,0,0,36.2,25.8,0,0,1
